Aa	Ao	Fn	Pg	Sg	So	Va
K02194	K02834	K02346	K02892	K02340	K02530	K02503
K02195	K02836	K02355	K02895	K02341	K02531	K02517
K02196	K02838	K02356	K02897	K02343	K02563	K02518
K02197	K02851	K02357	K02899	K02346	K02564	K02519
K02198	K02860	K02358	K02902	K02355	K02600	K02520
K02199	K02863	K02371	K02904	K02356	K02601	K02523
K02200	K02864	K02372	K02906	K02357	K02614	K02527
K02217	K02867	K02433	K02907	K02358	K02621	K02528
K02221	K02871	K02434	K02909	K02371	K02622	K02535
K02237	K02874	K02435	K02911	K02372	K02687	K02536
K02238	K02876	K02438	K02913	K02428	K02770	K02548
K02278	K02878	K02440	K02914	K02433	K02773	K02549
K02279	K02879	K02443	K02916	K02434	K02774	K02551
K02280	K02881	K02446	K02919	K02435	K02775	K02552
K02282	K02884	K02453	K02926	K02440	K02779	K02563
K02283	K02886	K02455	K02931	K02469	K02786	K02575
K02313	K02887	K02456	K02933	K02470	K02788	K02600
K02314	K02888	K02469	K02935	K02493	K02793	K02601
K02316	K02890	K02470	K02939	K02495	K02794	K02614
K02335	K02892	K02477	K02945	K02500	K02795	K02650
K02337	K02895	K02478	K02946	K02501	K02796	K02653
K02338	K02897	K02481	K02948	K02502	K02810	K02654
K02339	K02899	K02483	K02950	K02503	K02819	K02669
K02340	K02902	K02492	K02952	K02518	K02823	K02687
K02341	K02904	K02493	K02954	K02519	K02824	K02770
K02342	K02906	K02495	K02956	K02520	K02825	K02821
K02343	K02907	K02503	K02959	K02528	K02834	K02822
K02344	K02909	K02517	K02961	K02529	K02835	K02823
K02346	K02911	K02518	K02963	K02530	K02836	K02824
K02355	K02913	K02519	K02965	K02531	K02837	K02825
K02356	K02914	K02520	K02967	K02532	K02838	K02834
K02357	K02916	K02527	K02968	K02563	K02860	K02835
K02358	K02919	K02528	K02970	K02564	K02863	K02836
K02372	K02931	K02535	K02982	K02600	K02864	K02837
K02379	K02933	K02536	K02986	K02601	K02867	K02838
K02380	K02935	K02557	K02988	K02614	K02871	K02841
K02424	K02939	K02563	K02990	K02621	K02874	K02843
K02426	K02945	K02564	K02992	K02622	K02876	K02851
K02427	K02946	K02566	K02994	K02687	K02878	K02860
K02428	K02948	K02600	K02996	K02744	K02879	K02863
K02436	K02950	K02601	K03040	K02757	K02881	K02864
K02438	K02952	K02619	K03043	K02759	K02884	K02867
K02439	K02954	K02652	K03046	K02760	K02886	K02871
K02441	K02956	K02654	K03070	K02761	K02887	K02874
K02444	K02959	K02669	K03073	K02770	K02888	K02876
K02445	K02961	K02687	K03075	K02771	K02890	K02878
K02446	K02963	K02768	K03076	K02773	K02892	K02879
K02469	K02965	K02770	K03086	K02774	K02895	K02881
K02470	K02967	K02777	K03088	K02775	K02899	K02884
K02471	K02968	K02784	K03092	K02779	K02902	K02886
K02492	K02982	K02804	K03100	K02786	K02904	K02887
K02493	K02986	K02806	K03101	K02788	K02906	K02888
K02494	K02988	K02823	K03106	K02793	K02907	K02890
K02495	K02990	K02824	K03110	K02794	K02909	K02892
K02496	K02992	K02825	K03111	K02795	K02911	K02895
K02498	K02994	K02834	K03113	K02796	K02913	K02899
K02503	K02996	K02835	K03147	K02810	K02914	K02904
K02504	K03040	K02836	K03149	K02819	K02916	K02906
K02505	K03043	K02838	K03150	K02822	K02926	K02907
K02506	K03046	K02843	K03152	K02823	K02931	K02909
K02507	K03060	K02850	K03154	K02824	K02933	K02911
K02517	K03070	K02860	K03168	K02825	K02935	K02913
K02518	K03072	K02863	K03169	K02834	K02939	K02914
K02519	K03073	K02864	K03177	K02835	K02945	K02916
K02520	K03074	K02867	K03183	K02836	K02946	K02919
K02521	K03075	K02871	K03210	K02837	K02948	K02926
K02523	K03076	K02874	K03215	K02838	K02950	K02931
K02527	K03088	K02876	K03217	K02851	K02952	K02933
K02528	K03100	K02878	K03218	K02860	K02954	K02935
K02529	K03101	K02879	K03269	K02863	K02956	K02939
K02535	K03110	K02881	K03270	K02864	K02959	K02946
K02536	K03111	K02884	K03281	K02867	K02961	K02948
K02548	K03116	K02886	K03282	K02871	K02963	K02950
K02549	K03117	K02887	K03284	K02874	K02965	K02952
K02551	K03118	K02888	K03296	K02876	K02967	K02954
K02552	K03183	K02890	K03303	K02878	K02968	K02956
K02553	K03210	K02892	K03305	K02879	K02970	K02959
K02558	K03212	K02895	K03313	K02881	K02982	K02961
K02560	K03216	K02899	K03321	K02884	K02986	K02963
K02562	K03217	K02902	K03327	K02886	K02988	K02965
K02563	K03281	K02904	K03340	K02887	K02990	K02967
K02564	K03282	K02906	K03385	K02888	K02992	K02968
K02565	K03286	K02907	K03386	K02890	K02994	K02970
K02567	K03293	K02909	K03387	K02892	K02996	K02982
K02568	K03297	K02911	K03394	K02895	K03040	K02986
K02569	K03303	K02913	K03402	K02899	K03043	K02988
